NER,frequency,to appear? (yes/no),EN name,EL name
ccp,2,yes,Ccp,Ccp
digital revolution,2,yes,Digital Revolution,Ψηφιακή Επανάσταση
model schools,2,yes,Model Schools,Πρότυπα Σχολεία
mr mayor,2,yes,Mr Mayor,Κύριε Ταγματάρχη
nafpaktos,2,yes,Nafpaktos,Ναύπακτος
continent,2,yes,Continent,Ήπειρος
archaeological museum,2,yes,Archaeological Museum,Αρχαιολογικό Μουσείο
losers,2,yes,Losers,Ηττημένοι
fokionos negri,2,yes,Fokionos Negri,Φωκίωνος Νέγρη
early breast cancer,2,yes,Early Breast Cancer,Πρώιμος Καρκίνος Του Μαστού
diplomacy,2,yes,Diplomacy,Διπλωματία
ormenio,2,yes,Ormenio,Ορμένιο
next year,2,yes,Next Year,Το Επόμενο Έτος
500 million,2,yes,500 Million,500 Εκατομμύρια
town hall,2,yes,Town Hall,Δημαρχείο
experimental schools,2,yes,Experimental Schools,Πειραματικά Σχολεία
grade 3,2,yes,Grade 3,Βαθμός 3
950,2,yes,950,950
digital state,2,yes,Digital State,Ψηφιακή Κατάσταση
mr president,2,yes,Mr President,Κύριε Πρόεδρε
gavdos,2,yes,Gavdos,Γαύδος
f-16,2,yes,F-16,F-16
belharra,2,yes,Belharra,Belharra
shipyards,2,yes,Shipyards,Ναυπηγεία
servicemen,2,yes,Servicemen,Στρατιώτες
defence industry,2,yes,Defence Industry,Αμυντική Βιομηχανία
18,2,yes,18,18
operation freedom,2,yes,Operation Freedom,Επιχείρηση Ελευθερία
emak,2,yes,Emak,EMAK
uk,2,yes,UK,Ηνωμένο Βασίλειο
diseases,2,yes,Diseases,Ασθένειες
kindergartens,2,yes,Kindergartens,Παιδικοί Σταθμοί
minimum guaranteed income,2,yes,Minimum Guaranteed Income,Ελάχιστο Εγγυημένο Εισόδημα
asep,2,yes,ASEP,ΑΣΕΠ
of people,2,yes,Of People,Των Ανθρώπων
mayors,2,yes,Mayors,Δήμαρχοι
past,2,yes,Past,Παρελθόν
5,2,yes,5,5
others,2,no,Others,Άλλοι
100 billion,2,yes,100 Billion,100 Δισεκατομμύρια
lavrio,2,yes,Lavrio,Λεβάντα
mammogram,2,yes,Mammogram,Μαστογραφία
illegal immigrants,2,yes,Illegal Immigrants,Παράνομοι Μετανάστες
marines,2,yes,Marines,Πεζοναύτες
velestino,2,yes,Velestino,Βελεστίνο
mip,2,yes,Mip,Mip
31 billion euros,2,yes,31 Billion Euros,31 Δισεκατομμύρια Ευρώ
mesochora dam,2,yes,Mesochora Dam,Φράγμα Μεσοχώρας
voliot,2,yes,Voliot,Voliot
fiscal council,2,yes,Fiscal Council,Δημοσιονομικό Συμβούλιο
leros,2,yes,Leros,Λέρος
boak,2,yes,VOAK,BOΑΚ
social market economy,2,yes,Social Market Economy,Κοινωνική Οικονομία Της Αγοράς
disabled person,2,yes,Disabled Person,Άτομο Με Αναπηρία
himarra,2,yes,Himarra,Himarra
dorida,2,yes,Dorida,Δωρίδα
personal physician,2,yes,Personal Physician,Προσωπικός Γιατρός
supreme court chamber,2,yes,Supreme Court Chamber,Αίθουσα Του Ανώτατου Δικαστηρίου
airports,2,yes,Airports,Αεροδρόμια
kissamos,2,yes,Kissamos,Κίσσαμος
sitia,2,yes,Sitia,Σητεία
white mountains,2,yes,White Mountains,Λευκά Όρη
rafale fighters,2,yes,Rafale Fighters,Μαχητικά Rafale
115th fighter wing,2,yes,115th Fighter Wing,115η Πτέρυγα Μαχητικών
young democrats of egaleo,2,yes,Young Democrats Of Egaleo,Νέοι Δημοκράτες Του Αιγάλεω
ilion,2,yes,Ilion,Ίλιον
countries,2,yes,Countries,Χώρες
freddy beleris,2,yes,Freddy Beleris,Freddy Beleris
olympiacos,2,yes,Olympiacos,Ολυμπιακός
central macedonia,2,yes,Central Macedonia,Κεντρική Μακεδονία
thiseio,2,yes,Thiseio,Θησείο
immobility,1,yes,Immobility,Ακινησία
arrogance,1,yes,Arrogance,Αλαζονεία
institutional decline,1,yes,Institutional Decline,Θεσμική Παρακμή
political life,1,yes,Political Life,Πολιτική Ζωή
his company,1,yes,His Company,Την Εταιρεία Του
right-wing parastate,1,yes,Right-wing Parastate,Δεξιό Παρακράτος
sunday newspaper,1,yes,Sunday Newspaper,Κυριακάτικη Εφημερίδα
the bats,1,yes,The Bats,Οι Νυχτερίδες
vasiliki vlachou,1,yes,Vasiliki Vlachou,Vasiliki Vlachou
mr. skertzos,1,yes,Mr. Skertzos,Κ. Σκέρτσος
kontomari,1,yes,Kontomari,Διαχειριστής Λογαριασμού
candano,1,yes,Candano,Candano
viannos,1,yes,Viannos,Viannos
anogia,1,yes,Anogia,Ανώγεια
150 large listed companies,1,yes,150 Large Listed Companies,150 Μεγάλες Εισηγμένες Εταιρείες
eur 1.1 billion,1,yes,Eur 1.1 Billion,"1,1 Δισ. Ευρώ"
eur 5 billion,1,yes,Eur 5 Billion,5 Δισ. Ευρώ
mr. katrougalos,1,yes,Mr. Katrougalos,Κ. Κατρούγκαλος
1.13 billion,1,yes,1.13 Billion,"1,13 Δισεκατομμύρια"
mother's day,1,yes,Mother's Day,Ημέρα Της Μητέρας
eight and a half million,1,yes,Eight And A Half Million,Οκτώμισι Εκατομμύρια
mrs. katseli,1,yes,Mrs. Katseli,Η Κα. Watched
nikos christodoulakis,1,yes,Nikos Christodoulakis,Νίκος Χριστοδουλάκης
fund,1,yes,Fund,Ταμείο
eight and a half years,1,yes,Eight And A Half Years,Οκτώμισι Χρόνια
kandanos kissamos,1,yes,Kandanos Kissamos,Kandanos Kissamos
multipurpose medical centre of sfakia,1,yes,Multipurpose Medical Centre Of Sfakia,Ιατρικό Κέντρο Πολλαπλών Χρήσεων Στα Σφακιά
nhs recovery fund,1,yes,Nhs Recovery Fund,Ταμείο Ανάκαμψης Nhs
agricultural supplies,1,yes,Agricultural Supplies,Γεωργικές Προμήθειες
animal feed,1,yes,Animal Feed,Ζωοτροφές
state of crete,1,yes,State Of Crete,Κράτος Της Κρήτης
res large parks,1,yes,Res Large Parks,Res Μεγάλα Πάρκα
small parks,1,yes,Small Parks,Μικρά Πάρκα
renewable resources,1,yes,Renewable Resources,Ανανεώσιμες Πηγές
european citizens,1,yes,European Citizens,Ευρωπαίοι Πολίτες
steel mills,1,yes,Steel Mills,Χαλυβουργεία
big power generators,1,yes,Big Power Generators,Μεγάλες Γεννήτριες Ενέργειας
carbon tax,1,yes,Carbon Tax,Φόρος Άνθρακα
populism,1,yes,Populism,Λαϊκισμός
people's orthodox rally,1,yes,People's Orthodox Rally,Λαϊκό Ορθόδοξο Συλλαλητήριο
antonarians,1,yes,Antonarians,Antonarians
lotus eaters,1,yes,Lotus Eaters,Λωτοφάγοι
karamalis,1,yes,Karamalis,Karamalis
laz,1,yes,Laz,Laz
asεπ,1,yes,Asεπ,Asεπ
kapodistrias,1,yes,Kapodistrias,Καποδίστριας
kallikrates,1,yes,Kallikrates,Καλλικράτης
kammeni,1,yes,Kammeni,Χτένισμα
european state,1,yes,European State,Ευρωπαϊκό Κράτος
21 october 2021,1,yes,21 October 2021,21 Οκτωβρίου 2021
55 million euros,1,yes,55 Million Euros,55 Εκατομμύρια Ευρώ
public organisations,1,yes,Public Organisations,Δημόσιες Οργανώσεις
trainose,1,yes,Trainose,Trainose
national social security fund,1,yes,National Social Security Fund,Εθνικό Ταμείο Κοινωνικής Ασφάλισης
pdo products,1,yes,Pdo Products,Προϊόντα Pdo
networks,1,yes,Networks,Δίκτυα
research centres,1,yes,Research Centres,Ερευνητικά Κέντρα
costa,1,yes,Costa,Ακτή
seisachthia,1,yes,Seisachthia,Seisachthia
gaga,1,yes,Gaga,Gaga
health professionals,1,yes,Health Professionals,Επαγγελματίες Υγείας
domestic elites,1,yes,Domestic Elites,Εγχώριες Ελίτ
a century,1,yes,A Century,Ένας Αιώνας
mr kasidiaris,1,yes,Mr Kasidiaris,Ο Κ. Κασιδιάρης
3 september,1,yes,3 September,3 Σεπτεμβρίου
dad,1,yes,Dad,Μπαμπάς
mavrikis,1,yes,Mavrikis,Mavrikis
mr kammenos,1,yes,Mr Kammenos,Κ. Καμμένος
crows of the funds,1,yes,Crows Of The Funds,Κοράκια Των Ταμείων
patriotic movement,1,yes,Patriotic Movement,Πατριωτικό Κίνημα
a year,1,yes,A Year,Ένα Έτος
the democratic party,1,yes,The Democratic Party,Το Δημοκρατικό Κόμμα
unemployed young person,1,yes,Unemployed Young Person,Άνεργος Νέος
67 strong businesses,1,yes,67 Strong Businesses,67 Ισχυρές Επιχειρήσεις
agricultural property,1,yes,Agricultural Property,Γεωργική Ιδιοκτησία
bankruptcy law,1,yes,Bankruptcy Law,Πτωχευτικό Δίκαιο
15 and 20%,1,yes,15 And 20%,15 Και 20%
80 and 90,1,yes,80 And 90,80 Και 90
new national health system,1,yes,New National Health System,Νέο Εθνικό Σύστημα Υγείας
greek universities,1,yes,Greek Universities,Ελληνικά Πανεπιστήμια
august 15,1,yes,August 15,15 Αυγούστου
70%,1,yes,70%,70%
peasant,1,yes,Peasant,Χωρικός
rural people,1,yes,Rural People,Άνθρωποι Της Υπαίθρου
20 million people,1,yes,20 Million People,20 Εκατομμύρια Άνθρωποι
hundreds of greek pdo and non pdo products,1,yes,Hundreds Of Greek Pdo And Non Pdo Products,Εκατοντάδες Ελληνικά Προϊόντα Pdo Και Μη Pdo
agricultural park,1,yes,Agricultural Park,Αγροτικό Πάρκο
export body,1,yes,Export Body,Εξαγωγικός Φορέας
agriculture,1,yes,Agriculture,Γεωργία
collective producers,1,yes,Collective Producers,Συλλογικοί Παραγωγοί
party of democracy,1,yes,Party Of Democracy,Κόμμα Της Δημοκρατίας
digital gangs,1,yes,Digital Gangs,Ψηφιακές Συμμορίες
digital parastatals,1,yes,Digital Parastatals,Ψηφιακοί Ημικρατικοί Οργανισμοί
rights activist,1,yes,Rights Activist,Ακτιβιστής Των Δικαιωμάτων
thousands,1,yes,Thousands,Χιλιάδες
mr tsipa,1,yes,Mr Tsipa,Ο Κ. Τσίπα
greek democrats,1,yes,Greek Democrats,Έλληνες Δημοκράτες
millions of greek citizens,1,yes,Millions Of Greek Citizens,Εκατομμύρια Έλληνες Πολίτες
27 days,1,yes,27 Days,27 Ημέρες
zappia,1,yes,Zappia,Zappia
neo-nazis,1,yes,Neo-nazis,Νεοναζί
mr george,1,yes,Mr George,Κ. George
mr. antonaros,1,yes,Mr. Antonaros,Κ. Antonaros
foreign funds,1,yes,Foreign Funds,Ξένα Κεφάλαια
electricity producers,1,yes,Electricity Producers,Παραγωγοί Ηλεκτρικής Ενέργειας
oligopolies,1,yes,Oligopolies,Ολιγοπώλια
reconstruction recovery fund,1,yes,Reconstruction Recovery Fund,Ταμείο Αποκατάστασης Της Ανασυγκρότησης
pool,1,yes,Pool,Πισίνα
gross public debt,1,yes,Gross Public Debt,Ακαθάριστο Δημόσιο Χρέος
trade deficit,1,yes,Trade Deficit,Εμπορικό Έλλειμμα
gdp growth,1,yes,Gdp Growth,Αύξηση Του Αεπ
foreign investment business,1,yes,Foreign Investment Business,Επιχείρηση Ξένων Επενδύσεων
sme,1,yes,Sme,Sme
support,1,yes,Support,Υποστήριξη
renewables,1,yes,Renewables,Ανανεώσιμες Πηγές Ενέργειας
power generators,1,yes,Power Generators,Γεννήτριες Ενέργειας
thousands of farmers,1,yes,Thousands Of Farmers,Χιλιάδες Αγρότες
livestock farming,1,yes,Livestock Farming,Κτηνοτροφία
third party,1,yes,Third Party,Τρίτο Μέρος
28 may,1,yes,28 May,28 Μαΐου
717 contract,1,yes,717 Contract,717 Συμβόλαιο
400 billion,1,yes,400 Billion,400 Δισεκατομμύρια
mr. karatzaferis,1,yes,Mr. Karatzaferis,Κ. Καρατζαφέρης
andreas georgiou,1,yes,Andreas Georgiou,Ανδρέας Γεωργίου
mr georgiou,1,yes,Mr Georgiou,Κ. Γεωργίου
mr kamenos,1,yes,Mr Kamenos,Ο Κ. Καμμένος
mr.pappas,1,yes,Mr.pappas,Του Mr.daddy
2013,1,yes,2013,2013
swiss francs,1,yes,Swiss Francs,Ελβετικά Φράγκα
interest rates,1,yes,Interest Rates,Επιτόκια
consistent borrowers,1,yes,Consistent Borrowers,Συνεπείς Δανειολήπτες
weak households,1,yes,Weak Households,Αδύναμα Νοικοκυριά
every student,1,yes,Every Student,Κάθε Μαθητής
every teacher,1,yes,Every Teacher,Κάθε Δάσκαλος
every classroom,1,yes,Every Classroom,Κάθε Τάξη
environmental education,1,yes,Environmental Education,Περιβαλλοντική Εκπαίδευση
health education,1,yes,Health Education,Αγωγή Υγείας
primary school,1,yes,Primary School,Δημοτικό Σχολείο
lifelong learning,1,yes,Lifelong Learning,Δια Βίου Μάθηση
professions,1,yes,Professions,Επαγγέλματα
professional rights,1,yes,Professional Rights,Επαγγελματικά Δικαιώματα
school environment,1,yes,School Environment,Σχολικό Περιβάλλον
psychological support services,1,yes,Psychological Support Services,Υπηρεσίες Ψυχολογικής Υποστήριξης
social support services,1,yes,Social Support Services,Υπηρεσίες Κοινωνικής Υποστήριξης
violence,1,yes,Violence,Βία
school-leaving certificate,1,yes,School-leaving Certificate,Απολυτήριο Σχολείου
greek family,1,yes,Greek Family,Ελληνική Οικογένεια
tutorial,1,yes,Tutorial,Σεμινάριο
local development,1,yes,Local Development,Τοπική Ανάπτυξη
research,1,yes,Research,Έρευνα
innovation,1,yes,Innovation,Καινοτομία
national study,1,yes,National Study,Εθνική Μελέτη
specialised field of knowledge,1,yes,Specialised Field Of Knowledge,Εξειδικευμένος Τομέας Γνώσεων
university of tourism,1,yes,University Of Tourism,Πανεπιστήμιο Τουρισμού
tourists,1,yes,Tourists,Τουρίστες
good salaries,1,yes,Good Salaries,Καλοί Μισθοί
financial support,1,yes,Financial Support,Οικονομική Στήριξη
quality of education,1,yes,Quality Of Education,Ποιότητα Της Εκπαίδευσης
energy justice,1,yes,Energy Justice,Ενεργειακή Δικαιοσύνη
kilitzaroglu,1,yes,Kilitzaroglu,Kilitzaroglu
helsinki strategy,1,yes,Helsinki Strategy,Στρατηγική Του Χέλσινκι
political affiliations,1,yes,Political Affiliations,Πολιτικές Σχέσεις
economic status,1,yes,Economic Status,Οικονομική Κατάσταση
european taxpayers,1,yes,European Taxpayers,Ευρωπαίοι Φορολογούμενοι
oligarchic energy producers,1,yes,Oligarchic Energy Producers,Ολιγαρχικοί Παραγωγοί Ενέργειας
eavesdropping parastate,1,yes,Eavesdropping Parastate,Παρακράτος Υποκλοπών
his nephew,1,yes,His Nephew,Ο Ανιψιός Του
separation of powers,1,yes,Separation Of Powers,Διαχωρισμός Των Εξουσιών
transparency commission,1,yes,Transparency Commission,Επιτροπή Διαφάνειας
ministry of infrastructure,1,yes,Ministry Of Infrastructure,Υπουργείο Υποδομών
tower,1,yes,Tower,Πύργος
last 8 years,1,yes,Last 8 Years,Τα Τελευταία 8 Χρόνια
mr demetriades,1,yes,Mr Demetriades,Ο Κ. Δημητριάδης
seisachathy,1,yes,Seisachathy,Seisachathy
paul athanasopoulos,1,yes,Paul Athanasopoulos,Paul Athanasopoulos
murderers,1,yes,Murderers,Δολοφόνοι
neo-nazism,1,yes,Neo-nazism,Νεοναζισμός
elis,1,yes,Elis,Elis
aσep,1,yes,Aσep,Aσep
10-15 years,1,yes,10-15 Years,10-15 Χρόνια
craftsmen,1,yes,Craftsmen,Τεχνίτες
elga insurance regulation,1,yes,Elga Insurance Regulation,Κανονισμός Ασφάλισης Elga
common agricultural policy programmes,1,yes,Common Agricultural Policy Programmes,Προγράμματα Κοινής Γεωργικής Πολιτικής
kilindzaroglu,1,yes,Kilindzaroglu,Kilindzaroglu
mr. samaras,1,yes,Mr. Samaras,Κ. Σαμαράς
velideion,1,yes,Velideion,Velideion
people's league,1,yes,People's League,Λαϊκή Ένωση
december 12,1,yes,December 12,12 Δεκεμβρίου
koumoundourou,1,yes,Koumoundourou,Κουμουνδούρου
'15 election,1,yes,'15 Election,Εκλογές '15
electronic auctions,1,yes,Electronic Auctions,Ηλεκτρονικές Δημοπρασίες
first home protection,1,yes,First Home Protection,Προστασία Πρώτης Κατοικίας
democratic socialism,1,yes,Democratic Socialism,Δημοκρατικός Σοσιαλισμός
telecommunications system,1,yes,Telecommunications System,Σύστημα Τηλεπικοινωνιών
budget office of the house of representatives,1,yes,Budget Office Of The House Of Representatives,Γραφείο Προϋπολογισμού Της Βουλής Των Αντιπροσώπων
two and a half billion euros,1,yes,Two And A Half Billion Euros,Δυόμισι Δισεκατομμύρια Ευρώ
50.000€,1,yes,50.000€,50.000€
tif,1,yes,Tif,Tif
€400,1,yes,€400,€400
new esas,1,yes,New Esas,Νέα Esas
1/01/24,1,yes,1/01/24,1/01/24
the mother,1,yes,The Mother,Η Μητέρα
national diploma,1,yes,National Diploma,Εθνικό Δίπλωμα
consumption,1,yes,Consumption,Κατανάλωση
foreign investment,1,yes,Foreign Investment,Ξένες Επενδύσεις
thessaloniki [location,1,yes,Thessaloniki [location,Θεσσαλονίκη [τοποθεσία
greek economy [political party,1,yes,Greek Economy [political Party,Ελληνική Οικονομία [πολιτικό Κόμμα
efka [organization,1,yes,Efka [organization,Efka [οργανισμός
oasθ,1,yes,Oasθ,Oasθ
6 days,1,yes,6 Days,6 Ημέρες
mr kilicdaroglu,1,yes,Mr Kilicdaroglu,Ο Κ. Kilicdaroglu
albanian prime minister,1,yes,Albanian Prime Minister,Αλβανός Πρωθυπουργός
expatriate mayor of himarra,1,yes,Expatriate Mayor Of Himarra,Ομογενής Δήμαρχος Της Χειμάρρας
the greek minority of northern epirus,1,yes,The Greek Minority Of Northern Epirus,Η Ελληνική Μειονότητα Της Βορείου Ηπείρου
the government,1,yes,The Government,Η Κυβέρνηση
the official opposition,1,yes,The Official Opposition,Η Αξιωματική Αντιπολίτευση
turkish elections,1,yes,Turkish Elections,Τουρκικές Εκλογές
last march,1,yes,Last March,Τον Περασμένο Μάρτιο
greek-turkish relations,1,yes,Greek-turkish Relations,Ελληνοτουρκικές Σχέσεις
bosphorus,1,yes,Bosphorus,Bosphorus
27,1,yes,27,27
loan agreement,1,yes,Loan Agreement,Σύμβαση Δανείου
mr polakis,1,yes,Mr Polakis,Κ. Πολάκης
wiretapping parastate,1,yes,Wiretapping Parastate,Παρακράτος Υποκλοπών
parliamentary commission of inquiry,1,yes,Parliamentary Commission Of Inquiry,Κοινοβουλευτική Εξεταστική Επιτροπή
13-0,1,yes,13-0,13-0
financial incentive,1,yes,Financial Incentive,Οικονομικό Κίνητρο
stisachthia,1,yes,Stisachthia,Stisachthia
papandreou government,1,yes,Papandreou Government,Κυβέρνηση Παπανδρέου
socialists of spain,1,yes,Socialists Of Spain,Σοσιαλιστές Της Ισπανίας
servia,1,yes,Servia,Θα Εξυπηρετούσε
social democracy,1,yes,Social Democracy,Σοσιαλδημοκρατία
mr kilicaroglu,1,yes,Mr Kilicaroglu,Ο Κ. Kilicaroglu
chancellor of germany,1,yes,Chancellor Of Germany,Καγκελάριος Της Γερμανίας
sunday's elections,1,yes,Sunday's Elections,Εκλογές Της Κυριακής
forces,1,yes,Forces,Δυνάμεις
general agencies,1,yes,General Agencies,Γενικές Υπηρεσίες
secretaries general,1,yes,Secretaries General,Γενικοί Γραμματείς
third democratic party,1,yes,Third Democratic Party,Τρίτο Δημοκρατικό Κόμμα
six heads of the armed forces,1,yes,Six Heads Of The Armed Forces,Έξι Αρχηγοί Των Ενόπλων Δυνάμεων
mr. georgiades,1,yes,Mr. Georgiades,Κ. Γεωργιάδης
mr. rammos,1,yes,Mr. Rammos,Κ. Ράμμος
mr. menoudakos,1,yes,Mr. Menoudakos,Ο Κ. Μενουδάκος
2003,1,yes,2003,2003
mantzios,1,yes,Mantzios,Mantzios
basic goods,1,yes,Basic Goods,Βασικά Αγαθά
thracy,1,yes,Thracy,Thracy
wine,1,yes,Wine,Κρασί
10 million,1,yes,10 Million,10 Εκατομμύρια
democritus university of thrace,1,yes,Democritus University Of Thrace,Δημοκρίτειο Πανεπιστήμιο Θράκης
nash,1,yes,Nash,Nash
tv licence,1,yes,Tv Licence,Άδεια Τηλεόρασης
andreas papandreou movement,1,yes,Andreas Papandreou Movement,Κίνημα Ανδρέα Παπανδρέου
cdu,1,yes,Cdu,Cdu
hundreds of surgeries,1,yes,Hundreds Of Surgeries,Εκατοντάδες Χειρουργικές Επεμβάσεις
retired elderly person,1,yes,Retired Elderly Person,Συνταξιούχος Ηλικιωμένος
5 oligarchs,1,yes,5 Oligarchs,5 Ολιγάρχες
pyrenees,1,yes,Pyrenees,Πυρηναία
natural gas,1,yes,Natural Gas,Φυσικό Αέριο
eastern macedonia,1,yes,Eastern Macedonia,Ανατολική Μακεδονία
balkan countries,1,yes,Balkan Countries,Βαλκανικές Χώρες
authoritative journalism,1,yes,Authoritative Journalism,Έγκυρη Δημοσιογραφία
assep,1,yes,Assep,Assep
tv licences,1,yes,Tv Licences,Τηλεοπτικές Άδειες
wiretapping,1,yes,Wiretapping,Υποκλοπές
african colonies,1,yes,African Colonies,Αφρικανικές Αποικίες
vangelis venizelos,1,yes,Vangelis Venizelos,Βαγγέλης Βενιζέλος
european social democrat,1,yes,European Social Democrat,Ευρωπαίος Σοσιαλδημοκράτης
zapiaia,1,yes,Zapiaia,Zapiaiaia
thessaloniki programs,1,yes,Thessaloniki Programs,Προγράμματα Της Θεσσαλονίκης
maksimou,1,yes,Maksimou,Maksimou
centrist voter,1,yes,Centrist Voter,Κεντρώος Ψηφοφόρος
authoritarian concept,1,yes,Authoritarian Concept,Αυταρχική Αντίληψη
public interest,1,yes,Public Interest,Δημόσιο Συμφέρον
hospital administrators,1,yes,Hospital Administrators,Διοικητές Νοσοκομείων
real estate programs,1,yes,Real Estate Programs,Προγράμματα Ακινήτων
kalymnos,1,yes,Kalymnos,Calymnos
foreign interests,1,yes,Foreign Interests,Ξένα Συμφέροντα
oasa,1,yes,Oasa,Oasa
mr bampi papadimitriou,1,yes,Mr Bampi Papadimitriou,Κ. Bampi Papadimitriou
administrations,1,yes,Administrations,Διοικήσεις
security companies,1,yes,Security Companies,Εταιρείες Ασφαλείας
base 10,1,yes,Base 10,Βάση 10
tsipas,1,yes,Tsipas,Τσίπας
elementary,1,yes,Elementary,Στοιχειώδες
stanford,1,yes,Stanford,Stanford
nameless political party,1,yes,Nameless Political Party,Ανώνυμο Πολιτικό Κόμμα
kalamata olives,1,yes,Kalamata Olives,Ελιές Καλαμών
greek producer,1,yes,Greek Producer,Έλληνας Παραγωγός
filiatrano dam,1,yes,Filiatrano Dam,Φράγμα Filiatran
greek borders,1,yes,Greek Borders,Ελληνικά Σύνορα
land workers,1,yes,Land Workers,Εργάτες Γης
populists,1,yes,Populists,Λαϊκιστές
coherent immigration policy,1,yes,Coherent Immigration Policy,Συνεκτική Μεταναστευτική Πολιτική
next week,1,yes,Next Week,Την Επόμενη Εβδομάδα
northeastern aegean,1,yes,Northeastern Aegean,Βορειοανατολικό Αιγαίο
kilincaroglu,1,yes,Kilincaroglu,Kilincaroglu
chancellor schulz,1,yes,Chancellor Schulz,Καγκελάριος Schulz
eurostrike,1,yes,Eurostrike,Απεργία Του Ευρώ
cypriots,1,yes,Cypriots,Κύπριοι
90s,1,yes,90s,90s
employment,1,yes,Employment,Απασχόληση
middle class citizens,1,yes,Middle Class Citizens,Πολίτες Της Μεσαίας Τάξης
human being,1,yes,Human Being,Άνθρωπος
racism,1,yes,Racism,Ρατσισμός
xenophobia,1,yes,Xenophobia,Ξενοφοβία
european economic sovereignty fund,1,yes,European Economic Sovereignty Fund,Ευρωπαϊκό Ταμείο Οικονομικής Κυριαρχίας
south,1,yes,South,Νότια
zapia,1,yes,Zapia,Zapia
article 10,1,yes,Article 10,Άρθρο 10
23-24,1,yes,23-24,23-24
minister of education,1,yes,Minister Of Education,Υπουργός Παιδείας
law 3869,1,yes,Law 3869,Νόμος 3869
location,1,yes,Location,Τοποθεσία
construction of new quality halls of residence,1,yes,Construction Of New Quality Halls Of Residence,Κατασκευή Νέων Ποιοτικών Φοιτητικών Εστιών
tax credit,1,yes,Tax Credit,Πίστωση Φόρου
creative activity centres,1,yes,Creative Activity Centres,Κέντρα Δημιουργικής Δραστηριότητας
spaniards,1,yes,Spaniards,Ισπανοί
arabia,1,yes,Arabia,Αραβία
infrastructure,1,yes,Infrastructure,Υποδομή
remaining days,1,yes,Remaining Days,Υπόλοιπες Ημέρες
digital parasite,1,yes,Digital Parasite,Ψηφιακό Παράσιτο
public debate,1,yes,Public Debate,Δημόσια Συζήτηση
elga regulation,1,yes,Elga Regulation,Κανονισμός Elga
greek region,1,yes,Greek Region,Ελληνική Περιοχή
primary production,1,yes,Primary Production,Πρωτογενής Παραγωγή
agricultural feed,1,yes,Agricultural Feed,Γεωργικές Ζωοτροφές
15 years,1,yes,15 Years,15 Χρόνια
post high school agricultural schools,1,yes,Post High School Agricultural Schools,Γεωργικές Σχολές Μετά Το Λύκειο
vulnerable greeks,1,yes,Vulnerable Greeks,Ευάλωτοι Έλληνες
fair development,1,yes,Fair Development,Δίκαιη Ανάπτυξη
national dignity,1,yes,National Dignity,Εθνική Αξιοπρέπεια
€150,1,yes,€150,€150
young generation,1,yes,Young Generation,Νέα Γενιά
georgiadis,1,yes,Georgiadis,Γεωργιάδης
telecommunications authority,1,yes,Telecommunications Authority,Αρχή Τηλεπικοινωνιών
717 contract of 2014,1,yes,717 Contract Of 2014,717 Σύμβαση Του 2014
57 human lives,1,yes,57 Human Lives,57 Ανθρώπινες Ζωές
open gov,1,yes,Open Gov,Ανοικτή Κυβέρνηση
colics,1,yes,Colics,Κολικοί
mr. george,1,yes,Mr. George,Κ. George
17/04/10,1,yes,17/04/10,17/04/10
public prosecutor,1,yes,Public Prosecutor,Εισαγγελέας
electricity companies,1,yes,Electricity Companies,Εταιρείες Ηλεκτρισμού
friday avgerinos,1,yes,Friday Avgerinos,Παρασκευή Avgerinos
karamandaneio,1,yes,Karamandaneio,Karamandaneio
aigio,1,yes,Aigio,Aigio
recovery fund for the nhs,1,yes,Recovery Fund For The Nhs,Ταμείο Ανάκαμψης Για Το Εσυ
energy oligarchs,1,yes,Energy Oligarchs,Ολιγάρχες Της Ενέργειας
new cap,1,yes,New Cap,Νέο Καπάκι
grape growers,1,yes,Grape Growers,Αμπελουργοί
kampos of western achaia,1,yes,Kampos Of Western Achaia,Κάμπος Της Δυτικής Αχαΐας
pinios dam,1,yes,Pinios Dam,Φράγμα Πηνειού
firstborn,1,yes,Firstborn,Πρωτότοκος
of the country,1,yes,Of The Country,Της Χώρας
greek land,1,yes,Greek Land,Ελληνική Γη
trade deficits,1,yes,Trade Deficits,Εμπορικά Ελλείμματα
this year,1,yes,This Year,Φέτος
greek democrat,1,yes,Greek Democrat,Έλληνας Δημοκράτης
transparency,1,yes,Transparency,Διαφάνεια
parastatalism,1,yes,Parastatalism,Παρακράτος
post-civil war,1,yes,Post-civil War,Μετά Τον Εμφύλιο Πόλεμο
human rights,1,yes,Human Rights,Ανθρώπινα Δικαιώματα
hope,1,yes,Hope,Ελπίδα
democrat progressive leftist,1,yes,Democrat Progressive Leftist,Δημοκράτης Προοδευτικός Αριστερός
dna,1,yes,Dna,Dna
sunday 23 may,1,yes,Sunday 23 May,Κυριακή 23 Μαΐου
prosecutor,1,yes,Prosecutor,Εισαγγελέας
businessmen,1,yes,Businessmen,Επιχειρηματίες
liberalism,1,yes,Liberalism,Φιλελευθερισμός
european level,1,yes,European Level,Ευρωπαϊκό Επίπεδο
human rights issues,1,yes,Human Rights Issues,Θέματα Ανθρωπίνων Δικαιωμάτων
german social democracy,1,yes,German Social Democracy,Γερμανική Σοσιαλδημοκρατία
greens,1,yes,Greens,Χόρτα
easter holidays,1,yes,Easter Holidays,Πασχαλινές Διακοπές
